id,StartUp,Country,Year,ESG,E,S,G,Raised,distr_tk,Rating, platform ETHEREUM , kyc , whitelist , mvp , teamsize , duracao , retrictions USD , FIAT , EPI , GOVEF , POLEST , REGQ , EDBUS , PUBEXP , TERT , TEACHT , DOCT , RDEXP , HTECEXP , QINSTIT , SJOUR , DCRED , STOCMARK , DMED , DMEDIA , GDPC , CREDINAD , CONCTBANK , EASYL , VC , TAXPROFIT , TAX_REVEN , FISCALFRD , FINACIFRD , FOREIGINVEST , FOREIGDP , INTERPAY , percmath , GINI , MAKTEFF , PERCTECH , DEVCOUNT 
12316,VenusEnergy,Lithuania,2018,0.01,0.008,0.002,0,5986183,0.27,3.9,0,0,0,0,11,91,1,0,62.9,0,87,1.101966,80.6,3.894959927,73.7303009,11426,0.624520004,0.94181,12.10092546,4.539711475,2267.3,40.37367799,9.3,1,0,19176.81215,2.27015,80.38381,4.087507248,3.033166647,5.9,16.83182927,96.7,70,1299841764,2.420713014,3.476570665,4.26941,35.7,4.642995349,3.11263,1
23416,GreenEnergyCoin,Netherlands,2018,0.018,0.01,0.006,0.002,0,0,0,1,0,0,0,0,0,0,0,75.3,1.850402,91.8,2.019616,76.1,5.357649803,87.09784698,69777.10483,0.627430022,2.16374,22.49154351,6.087815762,30457.33,105.4856219,132.2544,1,1,53018.62936,1.95988,94.71364,4.274242401,4.081542015,20.5,29.12024826,88.2,80,-3.61467E+11,-39.56529421,2.264508618,6.37706,28.1,5.408079641,2.82506,1
1553,HydroMiner,Austria,2017,0.014,0.01,0,0.004,3500000,0,0,1,0,0,1,5,75,0,0,79.6,1.3,97.4,1.531354,78.73995,5.225359917,86.68834686,59910.59132,1.023830056,3.17491,11.64557129,5.3621199,12362.28,84.32117413,25.67796,1,1,51461.43322,1.88243,84.57088,4.662967205,3.321559668,17.1,27.50158332,81.1,70,-28555242263,-6.277634789,3.64430175,6.07867,30.8,4.897588564,4.38647,1
17028,PowerCorp,"Hong Kong SAR, China",2018,0.008,0.006,0,0.002,0,0,0,0,0,0,0,0,0,0,0,18.65,1.9,0,2.22614,85,3.326519966,76.92223358,6500,0,0.8634,64.65259172,5.01149416,0,219.9321686,1055.932,1,1,48542.68187,0.546971,57.3908,5.077777863,4.342450619,17.5,0,100,90,97036255479,26.82845724,0.05,0,0,5.705542134,0,1
8483,Emyron Coin,United States,2018,0.017,0,0.011,0.006,0,0.28,2.4,1,0,0,0,1,77,0,0,69.3,1.575724,79.2,1.62526,83.57395,3.6,88.29917908,1581424,2.032649994,2.83283,18.47405368,6.026274681,422807.71,178.9733659,147.6641,1,1,63064.41841,0.913162,34.41995,5.538066864,5.603142738,27.1,51.4405252,54.8,80,2.61482E+11,1.268599671,11.81637868,7.2092,41.4,5.209139408,3.78213,1
6058,HERO Token,British Virgin Islands,2018,0.011,0,0.011,0,36416517,0,0,1,0,0,0,0,0,0,0,36.585,-0.2,0,0.8234454,0,2.694129944,16.25408936,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58776983523,0,0,0,0,0,3.15669,0
21656,CCET Project,Singapore,2018,0.008,0.008,0,0,0,0.25,2.4,1,0,0,0,0,30,0,0,58.1,2.230585,97.1,2.126329,85.6,2.645090103,88.88645172,14402,0,1.92465,51.56363888,5.666472435,11458.63,118.0666303,182.7901,1,1,66679.04649,1.30952,67.17964,5.453181267,4.680789471,1.7,33.27790842,80,80,83110792594,22.10501951,0.000791316,5.311,0,5.775368547,8.57863,1
2732,Skychain,Russian Federation,2018,0.006,0,0.004,0.002,9815000,0,4.1,1,0,0,0,13,41,0,0,50.5,0.15,45.6,-0.5028223,76.5,4.678199768,84.5842514,539144,0.649489999,0.98275,11.31874347,4.396923542,81579.36,51.24333483,34.76174,1,0,11287.35528,10.1236,33.67986,3.172773123,2.676175117,7.3,2.274465363,87.7,30,8784850000,0.530060761,2.691165331,2.77605,37.5,4.186344936,5.16847,0
11647,Minery,Russian Federation,2018,0.014,0.01,0.002,0.002,175492,0.87,2.7,1,1,0,0,0,91,0,1,50.5,0.15,45.6,-0.5028223,76.5,4.678199768,84.5842514,539144,0.649489999,0.98275,11.31874347,4.396923542,81579.36,51.24333483,34.76174,1,0,11287.35528,10.1236,33.67986,3.172773123,2.676175117,7.3,2.274465363,87.7,30,8784850000,0.530060761,2.691165331,2.77605,37.5,4.186344936,5.16847,0
4719,XiWATT,United States,2018,0.01,0.008,0.002,0,0,0,2.4,1,0,0,0,7,0,0,0,69.3,1.575724,79.2,1.62526,83.57395,3.6,88.29917908,1581424,2.032649994,2.83283,18.47405368,6.026274681,422807.71,178.9733659,147.6641,1,1,63064.41841,0.913162,34.41995,5.538066864,5.603142738,27.1,51.4405252,54.8,80,2.61482E+11,1.268599671,11.81637868,7.2092,41.4,5.209139408,3.78213,1
